"status","deathDate"
"civilian",2015-07-10
"civilian",2015-07-09
"civilian",2015-07-09
"civilian",2015-07-09
"civilian",2015-07-09
"civilian",2015-07-09
"civilian",2015-07-09
"civilian",2015-07-08
"civilian",2015-07-08
"civilian",2015-07-08
"civilian",2015-07-07
"civilian",2015-07-07
"civilian",2015-07-07
"civilian",2015-07-07
"civilian",2015-07-07
"civilian",2015-07-07
"civilian",2015-07-07
"civilian",2015-07-06
"civilian",2015-07-06
"civilian",2015-07-06
"civilian",2015-07-06
"civilian",2015-07-06
"civilian",2015-07-06
"civilian",2015-07-06
"civilian",2015-07-05
"civilian",2015-07-05
"civilian",2015-07-05
"civilian",2015-07-05
"civilian",2015-07-05
"civilian",2015-07-04
"civilian",2015-07-04
"civilian",2015-07-04
"civilian",2015-07-04
"civilian",2015-07-04
"civilian",2015-07-03
"civilian",2015-07-03
"civilian",2015-07-03
"civilian",2015-07-03
"civilian",2015-07-02
"civilian",2015-07-02
"civilian",2015-07-02
"civilian",2015-07-02
"civilian",2015-07-02
"civilian",2015-07-01
"civilian",2015-07-01
"civilian",2015-07-01
"civilian",2015-06-30
"civilian",2015-06-29
"civilian",2015-06-28
"civilian",2015-06-28
"civilian",2015-06-27
"civilian",2015-06-26
"civilian",2015-06-26
"civilian",2015-06-25
"civilian",2015-06-25
"civilian",2015-06-24
"civilian",2015-06-23
"civilian",2015-06-23
"civilian",2015-06-23
"civilian",2015-06-23
"civilian",2015-06-22
"civilian",2015-06-22
"civilian",2015-06-22
"civilian",2015-06-22
"civilian",2015-06-21
"civilian",2015-06-21
"civilian",2015-06-21
"civilian",2015-06-20
"civilian",2015-06-20
"civilian",2015-06-20
"civilian",2015-06-19
"civilian",2015-06-19
"civilian",2015-06-19
"civilian",2015-06-18
"civilian",2015-06-17
"civilian",2015-06-17
"civilian",2015-06-17
"civilian",2015-06-16
"civilian",2015-06-16
"civilian",2015-06-16
"civilian",2015-06-15
"civilian",2015-06-14
"civilian",2015-06-14
"civilian",2015-06-13
"civilian",2015-06-13
"civilian",2015-06-13
"civilian",2015-06-13
"civilian",2015-06-13
"civilian",2015-06-13
"civilian",2015-06-12
"civilian",2015-06-12
"civilian",2015-06-11
"civilian",2015-06-11
"civilian",2015-06-11
"civilian",2015-06-11
"civilian",2015-06-11
"civilian",2015-06-10
"civilian",2015-06-09
"civilian",2015-06-09
"civilian",2015-06-09
"civilian",2015-06-09
"civilian",2015-06-09
"civilian",2015-06-08
"civilian",2015-06-08
"civilian",2015-06-08
"civilian",2015-06-08
"civilian",2015-06-08
"civilian",2015-06-07
"civilian",2015-06-07
"civilian",2015-06-06
"civilian",2015-06-06
"civilian",2015-06-06
"civilian",2015-06-06
"civilian",2015-06-06
"civilian",2015-06-06
"civilian",2015-06-05
"civilian",2015-06-05
"civilian",2015-06-05
"civilian",2015-06-04
"civilian",2015-06-04
"civilian",2015-06-04
"civilian",2015-06-03
"civilian",2015-06-03
"civilian",2015-06-03
"civilian",2015-06-02
"civilian",2015-06-02
"civilian",2015-06-02
"civilian",2015-06-01
"civilian",2015-06-01
"civilian",2015-05-31
"civilian",2015-05-31
"civilian",2015-05-30
"civilian",2015-05-30
"civilian",2015-05-30
"civilian",2015-05-30
"civilian",2015-05-29
"civilian",2015-05-29
"civilian",2015-05-29
"civilian",2015-05-28
"civilian",2015-05-28
"civilian",2015-05-28
"civilian",2015-05-28
"civilian",2015-05-28
"civilian",2015-05-28
"civilian",2015-05-27
"civilian",2015-05-27
"civilian",2015-05-27
"civilian",2015-05-27
"civilian",2015-05-26
"civilian",2015-05-26
"civilian",2015-05-26
"civilian",2015-05-25
"civilian",2015-05-25
"civilian",2015-05-24
"civilian",2015-05-23
"civilian",2015-05-23
"civilian",2015-05-22
"civilian",2015-05-21
"civilian",2015-05-21
"civilian",2015-05-21
"civilian",2015-05-21
"civilian",2015-05-21
"civilian",2015-05-21
